Month,SumExportValue
11,2.17E8
12,2.48E8
01,2.17E8
02,3.33E8
03,3.76E8
04,4.59E8
05,4.56E8
06,2.86E8
07,3.72E8
08,3.3E8
09,3.04E8
10,2.53E8
