"Direction","Year","Date","Weekday","Country","Commodity","Transport_Mode","Measure","Value","Cumulative"
"Reimports","2018","31/05/2018","Thursday","All","All","All","$","0","88000000"
"Reimports","2018","02/06/2018","Saturday","All","All","All","$","0","89000000"
"Reimports","2018","03/06/2018","Sunday","All","All","All","$","0","89000000"
"Reimports","2018","04/06/2018","Monday","All","All","All","$","0","89000000"
"Reimports","2018","06/06/2018","Wednesday","All","All","All","$","0","92000000"
"Reimports","2018","07/06/2018","Thursday","All","All","All","$","0","92000000"
"Reimports","2018","09/06/2018","Saturday","All","All","All","$","0","93000000"
"Reimports","2018","10/06/2018","Sunday","All","All","All","$","0","93000000"
"Reimports","2018","11/06/2018","Monday","All","All","All","$","0","93000000"
"Reimports","2018","15/06/2018","Friday","All","All","All","$","0","96000000"
"Reimports","2018","16/06/2018","Saturday","All","All","All","$","0","96000000"
"Reimports","2018","17/06/2018","Sunday","All","All","All","$","0","96000000"
"Reimports","2018","18/06/2018","Monday","All","All","All","$","0","97000000"
"Reimports","2018","21/06/2018","Thursday","All","All","All","$","0","98000000"
"Reimports","2018","23/06/2018","Saturday","All","All","All","$","0","99000000"
"Reimports","2018","24/06/2018","Sunday","All","All","All","$","0","99000000"
"Reimports","2018","25/06/2018","Monday","All","All","All","$","0","100000000"
"Reimports","2018","27/06/2018","Wednesday","All","All","All","$","0","100000000"
"Reimports","2018","28/06/2018","Thursday","All","All","All","$","0","101000000"
"Reimports","2018","29/06/2018","Friday","All","All","All","$","0","101000000"
"Reimports","2018","30/06/2018","Saturday","All","All","All","$","0","101000000"
"Reimports","2018","01/07/2018","Sunday","All","All","All","$","0","101000000"
"Reimports","2018","06/07/2018","Friday","All","All","All","$","0","105000000"
"Reimports","2018","07/07/2018","Saturday","All","All","All","$","0","106000000"
"Reimports","2018","08/07/2018","Sunday","All","All","All","$","0","106000000"
"Reimports","2018","09/07/2018","Monday","All","All","All","$","0","106000000"
"Reimports","2018","12/07/2018","Thursday","All","All","All","$","0","108000000"
"Reimports","2018","14/07/2018","Saturday","All","All","All","$","0","109000000"
"Reimports","2018","15/07/2018","Sunday","All","All","All","$","0","109000000"
"Reimports","2018","19/07/2018","Thursday","All","All","All","$","0","112000000"
"Reimports","2018","20/07/2018","Friday","All","All","All","$","0","112000000"
"Reimports","2018","21/07/2018","Saturday","All","All","All","$","0","112000000"
"Reimports","2018","22/07/2018","Sunday","All","All","All","$","0","112000000"
"Reimports","2018","23/07/2018","Monday","All","All","All","$","0","112000000"
"Reimports","2018","24/07/2018","Tuesday","All","All","All","$","0","113000000"
"Reimports","2018","25/07/2018","Wednesday","All","All","All","$","0","113000000"
"Reimports","2018","26/07/2018","Thursday","All","All","All","$","0","113000000"
"Reimports","2018","28/07/2018","Saturday","All","All","All","$","0","114000000"
"Reimports","2018","29/07/2018","Sunday","All","All","All","$","0","114000000"
"Reimports","2018","31/07/2018","Tuesday","All","All","All","$","0","116000000"
"Reimports","2018","01/08/2018","Wednesday","All","All","All","$","0","116000000"
"Reimports","2018","04/08/2018","Saturday","All","All","All","$","0","118000000"
"Reimports","2018","05/08/2018","Sunday","All","All","All","$","0","118000000"
"Reimports","2018","07/08/2018","Tuesday","All","All","All","$","0","120000000"
"Reimports","2018","08/08/2018","Wednesday","All","All","All","$","0","121000000"
"Reimports","2018","09/08/2018","Thursday","All","All","All","$","0","121000000"
"Reimports","2018","11/08/2018","Saturday","All","All","All","$","0","122000000"
"Reimports","2018","12/08/2018","Sunday","All","All","All","$","0","122000000"
"Reimports","2018","15/08/2018","Wednesday","All","All","All","$","0","124000000"
"Reimports","2018","16/08/2018","Thursday","All","All","All","$","0","124000000"
"Reimports","2018","18/08/2018","Saturday","All","All","All","$","0","125000000"
"Reimports","2018","19/08/2018","Sunday","All","All","All","$","0","125000000"
"Reimports","2018","25/08/2018","Saturday","All","All","All","$","0","129000000"
"Reimports","2018","26/08/2018","Sunday","All","All","All","$","0","129000000"
"Reimports","2018","27/08/2018","Monday","All","All","All","$","0","130000000"
"Reimports","2018","30/08/2018","Thursday","All","All","All","$","0","132000000"
"Reimports","2018","31/08/2018","Friday","All","All","All","$","0","132000000"
"Reimports","2018","02/09/2018","Sunday","All","All","All","$","0","133000000"
"Reimports","2018","03/09/2018","Monday","All","All","All","$","0","133000000"
"Reimports","2018","08/09/2018","Saturday","All","All","All","$","0","136000000"
"Reimports","2018","09/09/2018","Sunday","All","All","All","$","0","137000000"
"Reimports","2018","10/09/2018","Monday","All","All","All","$","0","137000000"
"Reimports","2018","11/09/2018","Tuesday","All","All","All","$","0","137000000"
"Reimports","2018","12/09/2018","Wednesday","All","All","All","$","0","138000000"
"Reimports","2018","15/09/2018","Saturday","All","All","All","$","0","141000000"
"Reimports","2018","16/09/2018","Sunday","All","All","All","$","0","141000000"
"Reimports","2018","17/09/2018","Monday","All","All","All","$","0","141000000"
"Reimports","2018","19/09/2018","Wednesday","All","All","All","$","0","142000000"
"Reimports","2018","20/09/2018","Thursday","All","All","All","$","0","142000000"
"Reimports","2018","22/09/2018","Saturday","All","All","All","$","0","143000000"
"Reimports","2018","23/09/2018","Sunday","All","All","All","$","0","143000000"
"Reimports","2018","25/09/2018","Tuesday","All","All","All","$","0","144000000"
"Reimports","2018","27/09/2018","Thursday","All","All","All","$","0","146000000"
"Reimports","2018","28/09/2018","Friday","All","All","All","$","0","146000000"
"Reimports","2018","29/09/2018","Saturday","All","All","All","$","0","147000000"
"Reimports","2018","30/09/2018","Sunday","All","All","All","$","0","147000000"
"Reimports","2018","02/10/2018","Tuesday","All","All","All","$","0","148000000"
"Reimports","2018","05/10/2018","Friday","All","All","All","$","0","152000000"
"Reimports","2018","06/10/2018","Saturday","All","All","All","$","0","152000000"
"Reimports","2018","07/10/2018","Sunday","All","All","All","$","0","152000000"
"Reimports","2018","08/10/2018","Monday","All","All","All","$","0","152000000"
"Reimports","2018","11/10/2018","Thursday","All","All","All","$","0","154000000"
"Reimports","2018","12/10/2018","Friday","All","All","All","$","0","154000000"
"Reimports","2018","13/10/2018","Saturday","All","All","All","$","0","154000000"
"Reimports","2018","14/10/2018","Sunday","All","All","All","$","0","154000000"
"Reimports","2018","15/10/2018","Monday","All","All","All","$","0","155000000"
"Reimports","2018","16/10/2018","Tuesday","All","All","All","$","0","155000000"
"Reimports","2018","18/10/2018","Thursday","All","All","All","$","0","156000000"
"Reimports","2018","19/10/2018","Friday","All","All","All","$","0","157000000"
