"Direction","Year","Date","Weekday","Country","Commodity","Transport_Mode","Measure","Value","Cumulative"
"Exports","2016","01/01/2016","Friday","All","All","All","$","83000000","83000000"
"Exports","2016","02/01/2016","Saturday","All","All","All","$","38000000","120000000"
"Exports","2016","03/01/2016","Sunday","All","All","All","$","55000000","175000000"
"Exports","2016","04/01/2016","Monday","All","All","All","$","137000000","313000000"
"Exports","2016","05/01/2016","Tuesday","All","All","All","$","42000000","355000000"
"Exports","2016","06/01/2016","Wednesday","All","All","All","$","27000000","382000000"
"Exports","2016","07/01/2016","Thursday","All","All","All","$","99000000","481000000"
"Exports","2016","08/01/2016","Friday","All","All","All","$","90000000","571000000"
"Exports","2016","09/01/2016","Saturday","All","All","All","$","96000000","667000000"
"Exports","2016","10/01/2016","Sunday","All","All","All","$","77000000","744000000"
"Exports","2016","11/01/2016","Monday","All","All","All","$","185000000","929000000"
"Exports","2016","12/01/2016","Tuesday","All","All","All","$","76000000","1005000000"
"Exports","2016","13/01/2016","Wednesday","All","All","All","$","47000000","1052000000"
"Exports","2016","14/01/2016","Thursday","All","All","All","$","102000000","1154000000"
"Exports","2016","15/01/2016","Friday","All","All","All","$","136000000","1290000000"
"Exports","2016","16/01/2016","Saturday","All","All","All","$","191000000","1481000000"
"Exports","2016","17/01/2016","Sunday","All","All","All","$","181000000","1662000000"
"Exports","2016","18/01/2016","Monday","All","All","All","$","283000000","1945000000"
"Exports","2016","19/01/2016","Tuesday","All","All","All","$","83000000","2028000000"
"Exports","2016","20/01/2016","Wednesday","All","All","All","$","68000000","2096000000"
"Exports","2016","21/01/2016","Thursday","All","All","All","$","163000000","2259000000"
"Exports","2016","22/01/2016","Friday","All","All","All","$","154000000","2413000000"
"Exports","2016","23/01/2016","Saturday","All","All","All","$","201000000","2614000000"
"Exports","2016","24/01/2016","Sunday","All","All","All","$","130000000","2744000000"
"Exports","2016","25/01/2016","Monday","All","All","All","$","220000000","2965000000"
"Exports","2016","26/01/2016","Tuesday","All","All","All","$","89000000","3053000000"
"Exports","2016","27/01/2016","Wednesday","All","All","All","$","67000000","3120000000"
"Exports","2016","28/01/2016","Thursday","All","All","All","$","119000000","3240000000"
