Month,SumExportValue
11,2.35E8
12,3.06E8
01,2.28E8
02,3.29E8
03,4.27E8
04,3.97E8
05,3.79E8
06,3.24E8
07,4.01E8
08,3.48E8
09,2.87E8
10,2.82E8
